customer_age,proposed_credit_limit,date_of_birth_distinct_emails_4w,name_email_similarity,foreign_request,velocity_6h,has_other_cards,credit_risk_score,intended_balcon_amount,keep_alive_session,fraud_bool,income,payment_type
30.0,500.0,7.0,0.4999319958128846,0.0,2763.5354939874323,0.0,203.0,-1.2177287930079106,1.0,0,7552.067848431092,AC
30.0,1500.0,7.0,0.4460732319142921,0.0,7641.832198519287,0.0,92.0,-1.2200348031261603,1.0,0,10311.074682165507,AC
40.0,500.0,6.0,0.2008002970465688,0.0,4586.654177756374,0.0,,-1.1855314545129567,0.0,0,4842.816982705352,AB
50.0,500.0,5.0,0.8561452688605343,0.0,7256.33806281019,0.0,188.0,-1.6781042927863048,1.0,0,5737.567515461772,AD
40.0,1000.0,13.0,0.0022872994973779,0.0,5064.447354719964,0.0,181.0,18.021627734085516,1.0,0,4936.1296876894285,AA
20.0,200.0,16.0,0.6775184700860913,0.0,7941.498376109626,0.0,78.0,-1.3325697778254877,0.0,0,685.10496392705,AD
20.0,1500.0,9.0,0.2820953494918924,0.0,9017.136340526416,0.0,226.0,-0.3201430535360852,0.0,0,683.1750572536758,AB
30.0,1500.0,13.0,0.7852118028361026,0.0,10975.025669218068,0.0,237.0,98.92247961280135,1.0,0,4050.163750635292,AA
30.0,500.0,5.0,0.6756613527946662,0.0,3463.8019277465223,0.0,155.0,-0.5792277391795111,0.0,0,4602.096956856862,AA
20.0,510.0,16.0,0.8320416227324532,0.0,7207.705138556999,0.0,175.0,-1.9136977078172133,1.0,0,7124.874159743439,AD
20.0,200.0,11.0,0.4179102927167004,0.0,5043.884761363177,0.0,71.0,-1.2375467860586578,1.0,0,11267.722549352733,AC
30.0,1500.0,12.0,0.3396166326375108,0.0,5621.359501032347,1.0,187.0,-0.5257273182912555,0.0,0,11381.084400320382,AC
20.0,200.0,13.0,0.2318580400512452,0.0,9325.28740253027,0.0,137.0,-0.9400586329057328,0.0,0,8276.978339531845,AC
40.0,1000.0,7.0,0.5805585901250351,0.0,4748.95253435815,0.0,212.0,-0.9577803313103628,1.0,0,16800.367356246123,AB
20.0,200.0,14.0,0.1439553774352518,0.0,8108.137940087309,0.0,102.0,50.03204801144236,1.0,0,8158.404555763902,AA
20.0,200.0,11.0,0.4102801752407017,0.0,4331.303303458284,0.0,49.0,-1.1982188133409242,0.0,0,13317.306117132126,AD
50.0,200.0,5.0,0.8682586840722604,0.0,4006.771356784553,0.0,79.0,11.51473092506184,0.0,0,10977.622147964496,AA
20.0,200.0,9.0,0.2741992525545205,0.0,2024.030152305224,0.0,211.0,-0.6788010723039847,1.0,0,12500.800115679316,AC
40.0,1500.0,3.0,0.1184311128292964,0.0,5999.239987278254,1.0,179.0,32.200302402519505,0.0,0,4279.30662694973,AA
40.0,1000.0,4.0,0.1103518732760154,,4137.61318842705,1.0,240.0,-1.2201093915377992,1.0,0,11714.746116681754,AC
50.0,1500.0,6.0,0.1427739018137484,0.0,6918.291344097906,0.0,320.0,-0.2727539965026654,0.0,0,5949.552494827083,AD
30.0,200.0,2.0,0.4533407824451778,0.0,4816.384899218858,1.0,141.0,-1.1515788566008984,1.0,0,1054.0822568599872,AB
50.0,200.0,18.0,0.6281338084506936,0.0,2300.8056405874186,0.0,89.0,-1.0060334130352817,1.0,0,19902.614114857388,AD
40.0,200.0,9.0,0.6102171623198482,0.0,5769.888640467992,0.0,128.0,-1.1223089227575165,1.0,0,1634.0513698245175,AB
20.0,200.0,4.0,0.379960135518668,0.0,4382.763035959647,0.0,104.0,-1.4835241048109808,1.0,0,12415.46817455605,AC
10.0,200.0,9.0,0.8646767973995455,0.0,5740.432474567612,0.0,129.0,-0.3692785283013957,1.0,0,13833.595131333797,AC
20.0,200.0,15.0,0.7143360041189436,0.0,4306.230670396415,0.0,108.0,35.388134142537744,1.0,0,522.1093790560587,AA
20.0,200.0,15.0,0.1133510726452484,0.0,2700.5272456370085,0.0,201.0,50.658981878515256,0.0,0,805.970342579811,AA
30.0,200.0,13.0,0.7757252764376109,0.0,4845.168964506916,0.0,42.0,-1.4829837422494978,1.0,0,2612.831749761666,AC
20.0,200.0,14.0,0.2423524226201232,0.0,12411.318245171176,0.0,118.0,21.41668628486944,1.0,0,2549.614715484104,AA
50.0,1500.0,4.0,0.04353548342517,0.0,4661.002709867157,1.0,190.0,49.44044656354465,0.0,0,24579.00122226902,AA
20.0,200.0,11.0,0.106521909815086,0.0,4972.891755756928,0.0,45.0,-1.2787511907438345,1.0,0,1250.037580498697,AB
20.0,990.0,8.0,0.6633305820556096,0.0,10024.376356058829,0.0,166.0,-0.8485089610199218,0.0,0,4232.984392145067,AA
50.0,490.0,5.0,0.0940411141786073,0.0,2016.3598102539147,0.0,210.0,32.2510339970172,0.0,0,10064.61403869527,AA
30.0,200.0,11.0,0.4906736792446999,0.0,2026.8826392006551,0.0,100.0,-0.9467330182415732,0.0,0,6837.513848037511,AC
40.0,200.0,12.0,0.9919065578270572,0.0,4474.98764019963,1.0,,-1.0463365912742209,1.0,0,1508.1499347921256,AB
20.0,,20.0,0.4188608868443969,0.0,3938.406259787935,0.0,37.0,-1.3220597372108327,0.0,0,2989.823765957393,AB
40.0,200.0,13.0,0.6486303293481986,1.0,8329.142507528892,1.0,73.0,-0.9384278462624084,0.0,0,5600.80667233267,AD
50.0,500.0,3.0,0.8538712402956844,0.0,6981.807892320311,0.0,53.0,-0.9623420665633694,0.0,0,3789.6356314535124,AD
40.0,200.0,14.0,0.6669822230006546,0.0,4716.208874281654,0.0,124.0,-1.4571168038314195,1.0,0,8246.381628741516,AD
30.0,500.0,11.0,0.0889980510250686,0.0,1444.029579313696,0.0,169.0,-1.0022340926072233,1.0,0,9384.064414135615,AC
40.0,200.0,9.0,0.1641893764893541,0.0,678.4569318604002,0.0,114.0,-0.7917903684252872,1.0,0,6114.709386825449,AC
60.0,1000.0,5.0,0.5064186209292545,0.0,7892.3349125725135,0.0,102.0,-0.313944953757859,0.0,0,3274.7203829077043,AB
20.0,200.0,30.0,0.8479664713380891,0.0,9054.259473653256,0.0,135.0,-1.1833032153647756,1.0,0,8218.566334014318,AD
50.0,200.0,7.0,0.8404377809113148,0.0,5198.962539921544,1.0,142.0,-0.925706398199434,0.0,0,5696.637088141314,AB
40.0,1500.0,16.0,0.4771998805915935,0.0,7150.199541730166,1.0,120.0,-0.9390427356014762,1.0,0,3112.7576471894317,AB
20.0,200.0,17.0,0.5783462396359835,0.0,4278.034843646006,0.0,105.0,-1.1556606110545933,1.0,0,3369.526526741724,AD
50.0,1500.0,8.0,0.2816029301923543,0.0,12194.651890704508,0.0,111.0,50.02234720094272,1.0,0,1281.4017545816048,AA
50.0,1500.0,7.0,0.8289961502296967,0.0,8606.80429590006,0.0,269.0,-0.8263097867173204,0.0,0,3802.818055187282,AB
40.0,500.0,3.0,0.5107822503484443,0.0,9999.060746965057,0.0,137.0,-0.4095538052242811,0.0,0,8619.090013606925,AC
20.0,200.0,14.0,0.5102263194316294,0.0,5689.811893824412,0.0,21.0,-1.62744907913385,0.0,0,4869.7725840822795,AB
30.0,200.0,11.0,0.9885874830550704,0.0,3841.350401609115,0.0,148.0,-1.05339604937072,1.0,0,21424.26432633524,AB
40.0,200.0,7.0,0.4269298964666389,0.0,1506.5692767670623,0.0,88.0,-0.5724725123770897,1.0,0,8811.62208965038,AD
50.0,1500.0,4.0,0.2040831554170119,0.0,3072.883858137528,0.0,259.0,-0.4034624332153533,0.0,0,11700.622251261833,AB
30.0,500.0,8.0,0.2778808003957761,0.0,3711.8107799570616,0.0,175.0,-1.2398396625202903,0.0,0,5227.951603781533,AC
30.0,200.0,10.0,0.1761576734290106,0.0,5314.804610559463,0.0,131.0,-1.5658346582929252,1.0,0,3758.0930827154507,AB
20.0,200.0,2.0,0.4569026817050865,0.0,6629.356261625938,0.0,124.0,-0.8442913314924404,0.0,0,6328.665722872293,AC
40.0,990.0,5.0,0.3809397907638568,0.0,4417.619126634173,0.0,225.0,-0.8056560358931305,1.0,0,6477.306432078084,AC
30.0,200.0,8.0,0.6567461687234588,0.0,13920.657941177093,1.0,98.0,-1.3590032564687493,1.0,0,656.2571773220054,AB
60.0,200.0,2.0,0.2973247698517731,0.0,10669.74540133122,0.0,96.0,-1.195784021668204,1.0,0,1017.0858934538552,AC
40.0,200.0,6.0,0.6442567109803893,0.0,2427.503464649952,0.0,79.0,-0.6242956801483337,1.0,0,23216.845485997103,AB
30.0,200.0,16.0,0.1995745588815954,0.0,7718.748680303317,0.0,28.0,47.95924133133946,0.0,0,671.3431429295167,AA
50.0,200.0,5.0,0.3673164068113712,0.0,1352.3575596876026,0.0,123.0,32.45090216460955,1.0,0,12798.562960163294,AC
50.0,1500.0,5.0,0.360703712411116,0.0,6183.418729319379,1.0,250.0,-1.247980445271009,1.0,0,4061.371889920802,AB
20.0,200.0,13.0,,0.0,9032.031062953392,0.0,78.0,-0.7424720534369746,0.0,0,6076.767792985658,AD
50.0,200.0,6.0,0.8522578441614981,0.0,8354.126823663635,0.0,109.0,-0.9122104285973024,0.0,0,940.8569535134573,AB
30.0,200.0,11.0,0.6497586243308371,0.0,6053.057086407127,0.0,127.0,-1.6129649419487058,0.0,0,6780.7150871839995,AB
30.0,1500.0,16.0,0.0212451515812651,0.0,,0.0,296.0,-0.8954467895402624,1.0,0,5723.9152984915745,AB
